,Ticker,Tweets,Time
162,DIS,Go behind the scenes of Raya and the Last Dragon! Experience the movie event in theaters or order it on @DisneyPlus with Premier Access now! Learn more: https://t.co/0m16yWYW4I #DisneyRaya https://t.co/kDyWI6fvKe,2021-03-06 19:00:00
163,DIS,"With pals like these, you'll always have something to laugh about! https://t.co/Y5DqLmQ8IU",2021-03-06 17:00:02
164,DIS,"Uniting the Kingdom of Kumandra, one billboard at a time: the voice of Raya, Kelly Marie Tran! See Raya and the Last Dragon in theaters or order it on @DisneyPlus with Premier Access now! Learn more: https://t.co/0m16yXgxti #DisneyRaya https://t.co/pub9J9LU8T",2021-03-05 23:52:31
165,DIS,Find out more: https://t.co/wWsPKLtSVr,2021-03-05 18:42:27
166,DIS,"Spring has sprung at @WaltDisneyWorld Resort! From now through July 5, you can awaken your senses with Outdoor Kitchens, lively entertainment, and more, all at the Taste of EPCOT International Flower &amp; Garden Festival. #FreshEPCOT https://t.co/zBeCITAF8Q",2021-03-05 18:00:17
167,DIS,RT @DisneyRaya: Here’s a sneak peek at the brand-new music video for “Lead the Way” by Jhené Aiko from the #DisneyRaya soundtrack. Watch th…,2021-03-05 17:51:22
168,DIS,"The moment has arrived 📺 Tune into the finale and watch all episodes of @MarvelStudios' #WandaVision, now streaming on @DisneyPlus. #WandaVisionFinale https://t.co/PaQD7Zmh9X",2021-03-05 17:00:00
169,DIS,Raya has arrived. See Raya and the Last Dragon in theaters or order it on @DisneyPlus with Premier Access NOW. Learn more: https://t.co/YAthyID9f5 #DisneyRaya https://t.co/uI68LG700U,2021-03-05 16:30:00
170,DIS,Two weeks until two heroes return. @MarvelStudios' The Falcon and the Winter Soldier starts streaming March 19 on @DisneyPlus. #FalconAndWinterSoldier https://t.co/grQ5ZQzWPP,2021-03-05 16:00:00
171,DIS,"RT @DisneyRaya: Welcome to Kumandra: Watch the virtual red carpet event of #DisneyRaya, presented by @People, with the cast, filmmakers, an…",2021-03-04 23:01:19
172,DIS,There’s nut-thing they can’t do! Chip ‘N Dale Rescue Rangers debuted on this day in 1989. https://t.co/z9RJm5egEE,2021-03-04 20:00:02
173,DIS,"RT @DisneyD23: NEW: #RayaAndTheLastDragon star Kelly Marie Tran talks recording in a “blanket fort,” feeling the Force, why corn dogs are t…",2021-03-04 19:29:08
174,DIS,"Get ready to roll with #Raya, #Sisu, and #TukTuk in this brand-new clip from Raya and the Last Dragon. See the movie in theaters or order it on @DisneyPlus with Premier Access tomorrow! Learn more: https://t.co/0m16yXgxti #DisneyRaya https://t.co/o2o07LDs3w",2021-03-04 19:02:19
175,DIS,"Smile and say, ""Carrots!"" 📸  Happy 5th anniversary to Zootopia. https://t.co/859RYXPWUY",2021-03-04 18:00:02
176,DIS,RT @DisneyRaya: It’s almost time. ✨ See Raya and the Last Dragon in theaters or order it on @DisneyPlus with Premier Access TOMORROW! Learn…,2021-03-04 17:10:58
177,DIS,Who’s hungry? 🥘 See Raya and the Last Dragon in theaters or order it on @disneyplus with Premier Access this Friday! Learn more: https://t.co/AnsSuEGS7m #DisneyRaya https://t.co/5q4rNnsRkx,2021-03-04 02:01:38
178,DIS,"RT @DisneyMusic: Find your inner warrior. The soundtrack to Raya and the Last Dragon is out today: https://t.co/eZnE2TWYma

See #DisneyRaya…",2021-03-03 21:45:07
179,DIS,The cast and crew of #FloraAndUlysses are nuts about squirrels! 🐿 The film is now streaming on #DisneyPlus. https://t.co/1bUHjN6YOY,2021-03-03 20:00:01
180,DIS,"“Food is the one thing that can bring everyone together.” Watch Kelly Marie Tran, voice of Raya, talk about favorite food memories. See Raya and the Last Dragon in theaters or order it on @DisneyPlus with Premier Access this Friday! Learn more: https://t.co/0m16yXgxti #DisneyRaya https://t.co/rTyv5aEfKj",2021-03-03 18:31:12
181,DIS,A hero! 💪 https://t.co/6t3Hg4caUi,2021-03-03 17:29:57
182,DIS,"RT @ABCNetwork: .@ABC News presents: @SoulOfANation

This groundbreaking 6-episode series premieres TONIGHT at 10|9c. #SoulOfANation will b…",2021-03-03 02:02:33
183,DIS,RT @DisneyParks: Our Foodie Guide to #ATouchofDisney at #DisneyCaliforniaAdventure park is here! 🍽  From new items to favorite classic dish…,2021-03-03 01:01:44
184,DIS,Introducing… #TukTuk! Meet the newest adorable sidekick in Raya and the Last Dragon. See the movie in theaters or order it on Disney+ with Premier Access this Friday! Learn more: https://t.co/0m16yXgxti #DisneyRaya https://t.co/ZWrrtBm8Ff,2021-03-03 00:30:00
185,DIS,Peek-a-BB-8! https://t.co/SVpir9UiDq,2021-03-02 18:00:13
186,DIS,It’s easy bein’ green when everything is in bloom! 💐 https://t.co/V7byDVrSKs,2021-03-02 00:00:01
187,DIS,Congratulations to all of Disney’s 2021 Golden Globe winners! Full list: https://t.co/x9ugaljAZO https://t.co/orvkTC04Xn,2021-03-01 23:30:01
188,DIS,Playtime is a ball! 🎾 Toy Story 3 concept art by Dice Tsutsumi. https://t.co/gN50BxFAwM,2021-03-01 20:29:44
189,DIS,And the #GoldenGlobes go to... #PixarSoul for Best Animated Feature and Best Original Score! Congratulations to all the winners! https://t.co/jYdyVNaKqJ,2021-03-01 03:56:15
190,DIS,"The only way to leave is by making a grand exit, like Ulysses. 🐿 ⚡ 💥 Watch #FloraAndUlysses, now streaming on #DisneyPlus https://t.co/vRNfLcCscl",2021-02-28 18:00:02
191,DIS,The cutest little bounty in the entire galaxy. Stream The Mandalorian on #DisneyPlus. https://t.co/XwX0xhoFBp,2021-02-28 17:00:06
192,DIS,See if your art skills are all they’re quacked up to be by learning to draw the one and only Donald Duck! https://t.co/FJyql2kgtF,2021-02-27 18:00:03
193,DIS,Are you ready? See Raya and the Last Dragon in theaters or order it on @DisneyPlus with Premier Access March 5. Learn more: https://t.co/0m16yWYW4I https://t.co/PhzN34IeI1,2021-02-27 17:00:02
194,DIS,"A new journey into the Enchanted Forest awaits. Myth: A Frozen Tale, a short film, is now streaming on #DisneyPlus. https://t.co/8gnffXyVvO",2021-02-26 20:00:00
195,DIS,Time spent together is time well spent. Enjoy more art from @DisneyBooks’ “Miguel and the Grand Harmony.” Art by @Pixar Development &amp; Story Artist Ana Ramírez González. https://t.co/iDBdr10Txm,2021-02-26 18:59:58
196,DIS,It’s the little moments that make life enchanted. https://t.co/UdMwpfXVrR,2021-02-26 17:59:49
197,DIS,"RT @DisneyRaya: It’s almost time. Experience Raya and the Last Dragon, in theaters or order it on @DisneyPlus with Premier Access in just 1…",2021-02-26 17:07:11
198,DIS,RT @wandavision: Only two episodes left 💥 The eighth episode of Marvel Studios' #WandaVision is now streaming on @DisneyPlus. https://t.co/…,2021-02-26 16:40:56
199,DIS,"""Thank you for seeing the depth of culture, history, artistry, and welcoming my vision of Afrofuture into the lexicon of American filmmaking."" –Ruth E. Carter, Black Panther Costume Designer https://t.co/tLK0h3eKRd",2021-02-26 02:06:42
200,DIS,RT @DisneyD23: .@GMA's Tony Morrison joins #D23InsideDisney hosts Jeffrey and Sheri every week to share the latest Disney news and how the…,2021-02-25 21:40:23
201,DIS,"Yes, Dory is a natural blue – and always has been! 💙 Finding Dory concept art by Jason Deamer. https://t.co/r3NZToMiwE",2021-02-25 17:00:05
202,DIS,Pixar invites you to experience a summer like never before. 🌊 Luca arrives June 2021. #PixarLuca https://t.co/8Bc6n8NgOm,2021-02-25 14:00:02
203,DIS,"RT @DisneyParks: Exciting news! Experience some of the sights, sounds and flavors of the @Disneyland Resort with A Touch of Disney, a new,…",2021-02-25 00:00:40
204,DIS,"Go nuts! #ChipNDaleParkLife, an Original Series, starts streaming July 23 on #DisneyPlus. https://t.co/fmfbpZA5pl",2021-02-24 20:02:47
205,DIS,"The best partners come in all shapes, sizes, and slobber. Turner &amp; Hooch, an Original Series, starts streaming July 16 on #DisneyPlus. #TurnerAndHoochSeries https://t.co/Qpht287IWa",2021-02-24 20:02:17
206,DIS,"It’ll take some monster-sized laughs to generate Monstropolis’ power. #MonstersAtWork, an Original Series, starts streaming July 2 on #DisneyPlus. https://t.co/3p5adWlfUh",2021-02-24 20:02:01
207,DIS,"One mission will hold the answer to the world’s greatest riddle. The #MysteriousBenedictSociety, an Original Series, starts streaming June 25 on #DisneyPlus. https://t.co/uysNEJoc5T",2021-02-24 20:02:00
208,DIS,"Zen Mode: On. Season 2 of #Zenimation, an Original Series, starts streaming June 11 on #DisneyPlus. https://t.co/mFHEU78N7D",2021-02-24 20:01:16
209,DIS,#HSMTMTS Season 2. Streaming May 14 on #DisneyPlus. https://t.co/riravYsPYg,2021-02-24 20:00:43
210,DIS,"Star Wars: The Bad Batch, an Original Series, starts streaming May the 4th on #DisneyPlus. https://t.co/YainDPS7J3",2021-02-24 20:00:08
211,DIS,Save the dates! 🗓 Here’s when you can expect some upcoming #DisneyPlus Original Series to start streaming!,2021-02-24 20:00:03
212,DIS,"Game on. #TheMightyDucksGameChangers, an Original Series, starts streaming March 26 on #DisneyPlus. https://t.co/QjVYiHeys2",2021-02-24 19:35:00
213,DIS,"It’s time to welcome a new generation of game changers. Start streaming #TheMightyDucksGameChangers, an Original Series, March 26 on #DisneyPlus. https://t.co/JhJkWKPVYK",2021-02-24 19:30:01
